Area,File,Location,Hardcoded Text / Issue,Suggested Key / Fix,Priority
Structural bug,src/modules/auth/LoginForm/validation.ts,lines 6-9,"createLoginFormSchema(t) accepts t but body still uses literal strings ('Please enter a valid email address', 'Email is required', 'Password is required') instead of calling t(...)",validation.email.invalid / validation.email.required / validation.password.required,P0
Structural bug,src/modules/auth/SignupForm/validation.ts,lines 6-30,createSignupFormSchema(t) same bug — 15 literal messages (name/email/password/confirm/phone/address/terms/match) never call t(),validation.name.* / validation.email.* / validation.password.* / validation.phone.* / validation.address.* / validation.terms.required,P0
Structural bug,src/modules/auth/ForgotPasswordForm/validation.ts,lines 6-8,createForgotPasswordSchema(t) same bug — email messages hardcoded,validation.email.invalid / validation.email.required,P0
Structural bug,src/modules/auth/ResetPasswordForm/validation.ts,lines 6-16,createResetPasswordSchema(t) same bug — password rule + match messages hardcoded,validation.password.* / validation.password.mismatch,P0
Structural bug,src/modules/auth/VerifyResetForm/validation.ts,lines 6-8,createVerifyOtpSchema(t) same bug — OTP length message hardcoded,validation.otp.length,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 222,"Sidebar group label ""CRM"" hardcoded (siblings/children use t())",dashboard.nav.groups.crm,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 271,"Sidebar group label ""Vacancy"" hardcoded",dashboard.nav.groups.vacancy,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 277,"Sidebar item ""Careers"" hardcoded",dashboard.nav.careers,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 282,"Sidebar item ""Career Applications"" hardcoded",dashboard.nav.careerApplications,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 301,"Sidebar group label ""Users"" hardcoded",dashboard.nav.groups.users,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 329,"Sidebar group label ""Settings"" hardcoded",dashboard.nav.groups.settings,P0
Structural bug,src/app/pages/dashboard/DashboardLayout.tsx,line 335,"Sidebar item ""General Settings"" hardcoded",dashboard.nav.generalSettings,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 411,"Currency dropdown option ""Indian Rupee (₹)"" hardcoded (sibling option on line 412 IS translated)",dashboard.settings.indianRupee,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 413,"Currency dropdown option ""US Dollar ($)"" hardcoded",dashboard.settings.usDollar,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 414,"Currency dropdown option ""Euro (€)"" hardcoded",dashboard.settings.euro,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 415,"Currency dropdown option ""British Pound (£)"" hardcoded",dashboard.settings.britishPound,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 440,"Time zone option ""Nepal Standard Time (UTC+5:45)"" hardcoded (UTC option on line 442 IS translated)",dashboard.settings.localization.timeZones.nepal,P0
Structural bug,src/app/pages/dashboard/Settings.tsx,line 441,"Time zone option ""India Standard Time (UTC+5:30)"" hardcoded",dashboard.settings.localization.timeZones.india,P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 881,"toast.success/error(""Product variant added!"")",notifications.admin.<action> (see doc §2),P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 896,"toast.success/error(""Product variant updated!"")",notifications.admin.<action> (see doc §2),P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 909,"toast.success/error(""Product variant deleted!"")",notifications.admin.<action> (see doc §2),P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 925,"toast.success/error(""{points} loyalty points added!"")",notifications.admin.<action> (see doc §2),P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 940,"toast.success/error(""{points} loyalty points redeemed!"")",notifications.admin.<action> (see doc §2),P0
Admin notifications (StoreContext.tsx),src/context/StoreContext.tsx,line 950,"toast.success/error(""Purchase order created!"")",notifications.admin.<action> (see doc §2),P0
