New Translation Key,English Source Text,Files To Update (replace hardcoded text with t(key))
a11y.addItem,Add item,src/app/pages/dashboard/PurchaseOrders.tsx
a11y.cart,Cart,src/app/components/Navigation.tsx
a11y.clearSearch,Clear search,src/app/components/Navigation.tsx
a11y.close,Close,src/modules/auth/AuthModal/AuthModal.tsx
a11y.closeMenu,Close menu,src/app/components/Navigation.tsx
a11y.closeSearch,Close search,src/app/components/Navigation.tsx
a11y.colorPicker,Color picker,src/app/pages/dashboard/ProductLines.tsx
a11y.deleteNotification,Delete notification,src/app/pages/dashboard/DashboardLayout.tsx
a11y.dismiss,Dismiss,src/app/components/Navigation.tsx
a11y.errorLoadingImage,Error loading image,src/app/components/image-utils/ImageWithFallback.tsx
a11y.nextAnnouncement,Next announcement,src/app/components/Navigation.tsx
a11y.nextSlide,Next slide,src/app/components/ProductSlider.tsx
a11y.previousAnnouncement,Previous announcement,src/app/components/Navigation.tsx
a11y.previousSlide,Previous slide,src/app/components/ProductSlider.tsx
a11y.searchProducts,Search products,src/app/components/Navigation.tsx
a11y.selectLanguage,Select language,src/app/components/Navigation.tsx
a11y.toggleMenu,Toggle menu,src/app/components/Navigation.tsx
about.farmImageAlt,Farm in Nepal,src/app/pages/About.tsx
account.fullName,Full Name,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
account.loading,Loading account...,src/app/account/page.tsx
account.loadingOrders,Loading your orders...,src/app/pages/CustomerAccount.tsx
account.loyaltyPoints,Loyalty Points,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
account.memberTier,Member Tier,src/app/pages/CustomerAccount.tsx
account.noOrdersDesc,"Once you place an order, it will show up here.",src/app/pages/CustomerAccount.tsx
account.noOrdersYet,No orders yet,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
account.orderItems,Order Items,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Orders.tsx
account.orderTracking,Order Tracking,src/app/pages/CustomerAccount.tsx
auth.backToHome,Back to Home,src/app/pages/Login.tsx
auth.checkingAuthentication,Checking Authentication...,src/app/components/ProtectedRoute.tsx
auth.enterUsernameOrEmail,Enter your username or email,src/app/pages/Login.tsx
auth.enterYourPassword,Enter your password,src/app/pages/Login.tsx
auth.heroImageAlt,Tea leaves being harvested in a lush plantation,src/app/pages/Login.tsx
auth.logoAlt,GodGifted Logo,src/app/pages/Login.tsx
auth.stats.happyCustomers,Happy Customers,src/app/pages/Login.tsx
auth.stats.teaVarieties,Tea Varieties,src/app/pages/Login.tsx
auth.stats.yearsOfExcellence,Years of Excellence,src/app/pages/Login.tsx
blog.editorialLabel,Editorial,src/app/pages/BlogPost.tsx
blog.emailPlaceholder,Your email address,src/app/pages/Blog.tsx; src/app/pages/BlogPost.tsx
careers.emailPlaceholder,you@email.com,src/app/pages/Careers.tsx
careers.fullNamePlaceholder,Your full name,src/app/pages/Careers.tsx; src/app/pages/Wholesale.tsx
careers.linkedinPlaceholder,https://linkedin.com/in/yourname,src/app/pages/Careers.tsx
careers.teamImageAlt,Godgifted team at work,src/app/pages/Careers.tsx
cart.enterCode,Enter code,src/app/pages/Cart.tsx
cart.promoApplied,Promo code applied!,src/app/pages/Cart.tsx
cart.shipping,Shipping,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx
cart.subtotal,Subtotal,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Orders.tsx
cart.total,Total,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
checkout.countries.australia,Australia,src/app/pages/Checkout.tsx
checkout.countries.india,India,src/app/pages/Checkout.tsx
checkout.countries.nepal,Nepal,src/app/pages/Checkout.tsx
checkout.countries.other,Other,src/app/pages/Checkout.tsx; src/app/pages/Wholesale.tsx
checkout.countries.usa,USA,src/app/pages/Checkout.tsx
checkout.emptyCart,Your cart is empty.,src/app/pages/Checkout.tsx
checkout.fields.addressPlaceholder,"House No., Street Name, Area",src/app/pages/Checkout.tsx
checkout.summary.addressLabel,Address:,src/app/pages/Checkout.tsx; src/app/pages/PrivacyPolicy.tsx; src/app/pages/Terms.tsx
checkout.summary.emailLabel,Email:,src/app/pages/Checkout.tsx; src/app/pages/PrivacyPolicy.tsx; src/app/pages/Terms.tsx
checkout.summary.nameLabel,Name:,src/app/pages/Checkout.tsx
checkout.summary.phoneLabel,Phone:,src/app/pages/Checkout.tsx
checkout.summary.shipping,Shipping,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx
checkout.summary.subtotal,Subtotal,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Orders.tsx
checkout.summary.total,Total,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
common.active,Active,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx
common.activeVisible,Active (Visible),src/app/pages/dashboard/BrewingGuidesAdmin.tsx
common.activeVisibleOnSite,Active (Visible on site),src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/FAQs.tsx
common.allCategories,All Categories,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx
common.cancel,Cancel,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/BrewingGuidesAdmin.tsx; src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx; src/app/pages/dashboard/Reviews.tsx
common.delete,Delete,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
common.description,Description,src/app/pages/dashboard/Products.tsx
common.discount,Discount,src/app/pages/dashboard/Orders.tsx
common.dismissAction,Dismiss,src/app/components/Navigation.tsx
common.edit,Edit,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
common.enterReason,Enter reason,src/app/pages/dashboard/Customers.tsx
common.failedToLoadData,Failed to load data,src/app/pages/dashboard/Inventory.tsx
common.loading,Loading...,src/app/customer-auth/page.tsx; src/app/forgot-password/page.tsx; src/app/reset-password/page.tsx; src/app/verify-reset/page.tsx
common.name,Name,src/app/pages/Contact.tsx
common.notesOptional,Notes (Optional),src/app/pages/dashboard/PurchaseOrders.tsx
common.notice,Notice,src/app/pages/dashboard/Inventory.tsx
common.order,Order,src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/ProductLines.tsx
common.preview,Preview,src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/Products.tsx
common.previewAlt,Preview,src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/Products.tsx
common.reference,Reference,src/app/pages/dashboard/Inventory.tsx
common.searchProductsPlaceholder,Search products...,src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
common.selectCategory,Select category,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Products.tsx
