Hardcoded Text Found In Code,Existing Translation Key(s) To Use Instead,Files Containing This Hardcoded Text
Account Active,dashboard.adminUsers.accountActive,src/app/pages/dashboard/AdminUsers.tsx
Action,dashboard.inventory.action,src/app/pages/dashboard/Inventory.tsx
Actions,dashboard.orders.action; dashboard.home.action,src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Active,dashboard.customers.active; dashboard.home.active; dashboard.inventory.active; dashboard.coupons.active,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx
Add,dashboard.inventory.add,src/app/pages/dashboard/PurchaseOrders.tsx
Add Batch...,dashboard.inventory.addBatch,src/app/pages/dashboard/Inventory.tsx
Address,dashboard.settings.address; checkout.fields.address; auth.signup.addressLabel,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
Admin,dashboard.adminUsers.admin,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/DashboardLayout.tsx
All Categories,dashboard.products.allCategories; dashboard.inventory.allCategories; dashboard.blog.allCategories,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx
All products,dashboard.inventory.allProducts,src/app/pages/dashboard/Inventory.tsx
Amount,dashboard.invoice.amount,src/app/pages/dashboard/Orders.tsx
Approved,dashboard.reviews.approved,src/app/pages/dashboard/Reviews.tsx
Batch Management,dashboard.inventory.batchManagement,src/app/pages/dashboard/Inventory.tsx
Batch Number,dashboard.inventory.batchNumber,src/app/pages/dashboard/Inventory.tsx
Blog post title,dashboard.blog.enterTitle,src/app/pages/dashboard/Blog.tsx
Brief description of the post,dashboard.blog.enterExcerpt,src/app/pages/dashboard/Blog.tsx
Cancel,dashboard.products.cancel; dashboard.adminUsers.cancel; dashboard.inventory.cancel; dashboard.purchaseOrders.cancel; dashboard.coupons.cancel; dashboard.blog.cancel,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/BrewingGuidesAdmin.tsx; src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx; src/app/pages/dashboard/Reviews.tsx
Category,dashboard.products.category; dashboard.products.categoryLabel; dashboard.inventory.category; dashboard.blog.category,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
Content (JSON),dashboard.blog.contentJSON,src/app/pages/dashboard/Blog.tsx
Copy code,dashboard.coupons.copyCode,src/app/pages/dashboard/Coupons.tsx
Cost Price,dashboard.inventory.costPrice,src/app/pages/dashboard/Inventory.tsx
Coupon Code,dashboard.coupons.couponCode,src/app/pages/dashboard/Coupons.tsx
Create and manage discount coupons,dashboard.coupons.subtitle,src/app/pages/dashboard/Coupons.tsx
Currency,dashboard.settings.currency; dashboard.settings.storeInformation.currency,src/app/pages/dashboard/Settings.tsx
Customer,dashboard.customers.customer,src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/Orders.tsx
Customer Name,dashboard.orders.customer; dashboard.home.customer,src/app/pages/dashboard/Orders.tsx
Date,dashboard.invoice.date,src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Delete,dashboard.products.delete; dashboard.reviews.delete,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Delete Admin User?,dashboard.adminUsers.deleteAdminUser,src/app/pages/dashboard/AdminUsers.tsx
Delete Post?,dashboard.blog.deletePost,src/app/pages/dashboard/Blog.tsx
Discount Type,dashboard.coupons.discountType,src/app/pages/dashboard/Coupons.tsx
Edit,dashboard.products.edit; dashboard.adminUsers.edit; dashboard.blog.edit,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Email,dashboard.customers.email; dashboard.invoice.email; dashboard.settings.storeInformation.email; dashboard.adminUsers.email,src/app/pages/Contact.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Settings.tsx
Email Notifications,dashboard.settings.notifications.emailNotifications,src/app/pages/dashboard/Settings.tsx
English,dashboard.settings.localization.languages.english,src/app/pages/dashboard/Settings.tsx
Enter code,auth.verifyResetPage.eyebrow,src/app/pages/Cart.tsx
Enter your password,auth.login.passwordPlaceholder,src/app/pages/Login.tsx
Expected Delivery,dashboard.purchaseOrders.expectedDelivery,src/app/pages/dashboard/PurchaseOrders.tsx
Expired,dashboard.inventory.expired; dashboard.coupons.expired,src/app/pages/dashboard/Coupons.tsx
Expiry,dashboard.inventory.expiry,src/app/pages/dashboard/Inventory.tsx
Expiry Date (Optional),dashboard.inventory.expiryDateOptional,src/app/pages/dashboard/Inventory.tsx
FAQ,footer.faq,src/app/pages/Contact.tsx
Fixed Amount,dashboard.coupons.fixedAmount,src/app/pages/dashboard/Coupons.tsx
Full Name,checkout.fields.fullName; auth.signup.fullNameLabel,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
Happy Customers,testimonials.stat.customersLabel,src/app/pages/Login.tsx
Inactive,dashboard.coupons.inactive,src/app/pages/dashboard/Coupons.tsx
Items,dashboard.purchaseOrders.items,src/app/pages/dashboard/PurchaseOrders.tsx
John Doe,dashboard.customers.fullNamePlaceholder; auth.signup.fullNamePlaceholder,src/app/pages/dashboard/Customers.tsx
Language,dashboard.settings.localization.language,src/app/pages/dashboard/Settings.tsx
Low Stock Alerts,dashboard.settings.lowStock,src/app/pages/dashboard/Settings.tsx
Manage admin accounts and permissions,dashboard.adminUsers.subtitle,src/app/pages/dashboard/AdminUsers.tsx
Manage customer reviews and feedback,dashboard.reviews.subtitle,src/app/pages/dashboard/Reviews.tsx
Manage your customer relationships,dashboard.customers.subtitle,src/app/pages/dashboard/Customers.tsx
Manage your supplier purchase orders,dashboard.purchaseOrders.subtitle,src/app/pages/dashboard/PurchaseOrders.tsx
Manage your tea blog content,dashboard.blog.subtitle,src/app/pages/dashboard/Blog.tsx
No coupons yet. Create your first one!,dashboard.coupons.noCouponsYet,src/app/pages/dashboard/Coupons.tsx
No reviews found,dashboard.reviews.noReviewsFound,src/app/pages/dashboard/Reviews.tsx
Notifications,dashboard.notifications; dashboard.settings.notifications; dashboard.settings.tabs.notifications,src/app/pages/dashboard/Settings.tsx
Order Date,dashboard.orders.date; dashboard.home.date; dashboard.purchaseOrders.orderDate,src/app/pages/dashboard/PurchaseOrders.tsx
Order ID,dashboard.invoice.orderId,src/app/pages/dashboard/Analytics.tsx
Order Notifications,dashboard.settings.orderNotifs; dashboard.settings.notifications.orderNotifications,src/app/pages/dashboard/Settings.tsx
Order Number,dashboard.orders.orderId; dashboard.orders.orderNumber; dashboard.home.orderId,src/app/pages/dashboard/Orders.tsx
Order Status,dashboard.orders.orderStatus; dashboard.home.orderStatus,src/app/pages/dashboard/Analytics.tsx
Orders,dashboard.nav.orders; dashboard.orders.title; dashboard.customers.orders,src/app/pages/dashboard/Customers.tsx
PO Number,dashboard.purchaseOrders.poNumber,src/app/pages/dashboard/PurchaseOrders.tsx
Pending,dashboard.orders.pending; dashboard.home.pending; dashboard.status.pending; dashboard.reviews.pending,src/app/pages/dashboard/Reviews.tsx
Percentage,dashboard.coupons.percentage,src/app/pages/dashboard/Coupons.tsx
Phone,dashboard.customers.phone; dashboard.invoice.phone; dashboard.settings.storeInformation.phone,src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Settings.tsx
Phone Number,dashboard.settings.phoneNumber; checkout.fields.phoneNumber; auth.signup.phoneLabel,src/app/pages/CustomerAccount.tsx
